% downloaded 12/08 one year bill, 90 day bill and cpi from crsp/bills and inflation 
 %  update 12/11                                                                                                                                                                                                                                                              
 
%   caldt         b1ret        t90ret        cpiret

19261231      NaN           0.036026     -0.011174
19271231      NaN           0.030917     -0.022598
19281231      NaN           0.044427     -0.011561
19291231      NaN           0.049219      0.005848
19301231      NaN           0.027487     -0.063953
19311231      NaN           0.007070     -0.093168
19321231      NaN           0.008713     -0.102739
19331230      NaN           0.004655      0.007634
19341231      NaN           0.003301      0.015152
19351231      NaN           0.001619      0.029850
19361231      NaN           0.001860      0.014492
19371231      NaN           0.004442      0.028571
19381231      NaN           0.000436     -0.027777
19391230      NaN           0.000173      0.000000
19401231      NaN           0.000192      0.007143
19411231     -0.007792     -0.006810      0.099290
19421231      0.007513      0.003953      0.090321
19431231      0.010048      0.004073      0.029585
19441230      0.008435      0.003977      0.022989
19451231      0.010161      0.003996      0.022472
19461231      0.008126      0.003822      0.181319
19471231      0.010093      0.005704      0.088373
19481231      0.011046      0.008594      0.029914
19491230      0.013374      0.011408     -0.020745
19501229      0.008613      0.012003      0.059322
19511231      0.008171      0.015681      0.060000
19521231      0.022788      0.019072      0.007547
19531231      0.030713      0.022213      0.007490
19541231      0.021303      0.011279     -0.007434
19551230      0.001340      0.015976      0.003745
19561231      0.022217      0.027779      0.029849
19571231      0.046963      0.037516      0.028984
19581231      0.023303      0.020534      0.017605
19591231      0.030109      0.035866      0.017301
19601230      0.058183      0.038432      0.013606
19611229      0.032206      0.025207      0.006711
19621231      0.033770      0.029415      0.013332
19631231      0.029462      0.032567      0.016447
19641231      0.041372      0.037699      0.009709
19651231      0.035918      0.040695      0.019231
19661230      0.050949      0.052043      0.034591
19671229      0.043617      0.047437      0.030395
19681231      0.053124      0.055497      0.047198
19691231      0.058454      0.069772      0.061973
19701231      0.102950      0.078257      0.055703
19711231      0.068071      0.049409      0.032664
19721229      0.047099      0.042116      0.034063
19731231      0.058545      0.071537      0.087059
19741231      0.083023      0.085117      0.123376
19751231      0.087936      0.068647      0.069367
19761231      0.082016      0.056758      0.048648
19771230      0.047571      0.054138      0.067009
19781229      0.050059      0.073612      0.090178
19791231      0.091340      0.106025      0.132940
19801231      0.110090      0.125936      0.125164
19811231      0.153558      0.164605      0.089225
19821231      0.189623      0.131985      0.038296
19831230      0.093437      0.093317      0.037908
19841231      0.130524      0.111154      0.039486
19851231      0.114341      0.085266      0.037986
19861231      0.090515      0.067499      0.010979
19871231      0.066111      0.066396      0.044343
19881230      0.066996      0.068606      0.044194
19891229      0.104549      0.090311      0.046473
19901231      0.097657      0.084378      0.061063
19911231      0.097469      0.063854      0.030644
19921231      0.056479      0.039166      0.029008
19931231      0.041296      0.032480      0.027484
19941230      0.023245      0.042775      0.026749
19951229      0.083992      0.060922      0.025384
19961231      0.055055      0.054145      0.033225
19971231      0.062429      0.054943      0.017025
19981231      0.061431      0.053026      0.016119
19991231      0.043106      0.049227      0.026848
20001229      0.069920      0.061522      0.033869
20011231      0.074351      0.044809      0.015517
20021231      0.034147      0.017951      0.023769
20031231      0.014680      0.011604      0.018794
20041231      0.006780      0.013080      0.032557
20051230      0.022705      0.030790      0.034156
20061229      0.041550      0.048354      0.025408
20071231      0.059550      0.050863      0.040814
20081231      0.046384      0.020446      0.000915
20091231      0.005438      0.002232      0.027213
