Date,Mkt-RF,SMB,HML,RF,Spread,Labor
1969-01-01,-1.25,-0.77,1.66,0.53,0.7300000000000004,0.76279414
1969-02-01,-5.84,-3.9,0.86,0.46,0.6399999999999997,0.601605
1969-03-01,2.64,-0.26,-0.52,0.46,0.6600000000000001,1.078905
1969-04-01,1.46,-0.87,-0.03,0.53,0.6500000000000004,0.680544
1969-05-01,-0.1,-0.26,0.71,0.48,0.7299999999999995,0.8454109
1969-06-01,-7.18,-5.39,-1.1,0.51,0.7199999999999998,0.88601464
1969-07-01,-7.0,-3.2,1.22,0.53,0.7599999999999998,1.1616954
1969-08-01,4.68,0.93,-3.83,0.5,0.8900000000000006,0.89873475
1969-09-01,-2.98,1.18,-3.27,0.62,0.910000000000001,0.7152445
1969-10-01,5.06,3.84,-3.04,0.6,0.8900000000000006,0.5569955
1969-11-01,-3.79,-2.54,-1.15,0.52,0.9000000000000004,0.59149164
1969-12-01,-2.63,-3.65,-3.0,0.64,0.9300000000000006,0.58735234
1970-01-01,-8.1,2.91,3.15,0.6,0.9499999999999993,0.4761114
1970-02-01,5.13,-2.41,4.02,0.62,0.8499999999999996,0.5355204
1970-03-01,-1.06,-2.32,4.09,0.57,0.7900000000000009,0.6843008
1970-04-01,-11.0,-6.09,6.21,0.5,0.8699999999999992,-0.23608382
1970-05-01,-6.92,-4.54,3.43,0.53,0.870000000000001,0.40800992
1970-06-01,-5.79,-2.14,0.6,0.58,0.7699999999999996,0.56476307
1970-07-01,6.93,-0.55,1.01,0.52,0.9600000000000009,0.5688098
1970-08-01,4.49,1.53,1.02,0.53,1.3099999999999987,0.3330393
1970-09-01,4.18,8.56,-5.63,0.54,1.3000000000000007,-0.072014384
1970-10-01,-2.28,-4.28,0.25,0.46,1.3000000000000007,-0.24340267
1970-11-01,4.6,-4.07,1.67,0.46,1.33,0.26377147
1970-12-01,5.72,3.0,0.86,0.42,1.4799999999999995,0.8808484
1971-01-01,4.84,7.37,1.33,0.38,1.38,1.6119827
1971-02-01,1.41,1.86,-1.22,0.33,1.3100000000000005,0.51592463
1971-03-01,4.13,2.5,-4.06,0.3,1.2500000000000009,0.560359
1971-04-01,3.15,-0.5,0.71,0.28,1.1999999999999993,0.54633737
1971-05-01,-3.98,-1.11,-1.48,0.29,1.089999999999999,0.88612306
1971-06-01,-0.1,-1.43,-1.82,0.37,1.1100000000000003,0.42509595
1971-07-01,-4.5,-1.5,0.17,0.4,1.12,0.31253722
1971-08-01,3.79,-0.18,2.56,0.47,1.17,0.7010929
1971-09-01,-0.85,0.43,-2.89,0.37,1.1499999999999995,0.5916383
1971-10-01,-4.42,-1.8,-0.37,0.37,1.0900000000000007,0.3326373
1971-11-01,-0.46,-2.8,-1.73,0.37,1.120000000000001,0.5278242
1971-12-01,8.71,3.29,-0.41,0.37,1.1300000000000008,1.4307727
1972-01-01,2.49,6.07,1.93,0.29,1.04,1.5825112
1972-02-01,2.87,1.4,-2.8,0.25,0.9600000000000009,1.2481984
1972-03-01,0.63,-0.3,-1.68,0.27,1.0,0.7407856
1972-04-01,0.29,0.01,0.24,0.29,0.9400000000000004,0.5060348
1972-05-01,1.25,-2.74,-2.73,0.3,0.9300000000000006,0.5218614
1972-06-01,-2.43,0.34,-2.6,0.29,0.9699999999999989,0.65762967
1972-07-01,-0.8,-2.86,0.71,0.31,1.0200000000000005,0.27363226
1972-08-01,3.26,-4.07,4.64,0.29,0.9999999999999991,0.9790404
1972-09-01,-1.14,-2.67,0.51,0.34,0.8700000000000001,0.8594957
1972-10-01,0.52,-2.72,1.3,0.4,0.8500000000000005,1.3784807
1972-11-01,4.6,-1.12,4.82,0.37,0.8700000000000001,0.77294934
1972-12-01,0.62,-1.87,-2.24,0.37,0.8499999999999996,0.9158888
1973-01-01,-3.29,-3.47,2.67,0.44,0.75,1.6349703
1973-02-01,-4.85,-3.99,1.71,0.41,0.75,1.0976437
1973-03-01,-1.3,-2.81,2.73,0.46,0.7399999999999993,0.7135173
1973-04-01,-5.68,-3.96,5.62,0.52,0.8300000000000001,0.7343462
1973-05-01,-2.94,-6.13,0.25,0.51,0.7700000000000005,0.6332311
1973-06-01,-1.56,-2.93,1.37,0.51,0.7600000000000007,0.7596545
1973-07-01,5.05,7.97,-5.32,0.64,0.79,0.805351
1973-08-01,-3.82,-2.12,1.32,0.7,0.8499999999999996,0.46438965
1973-09-01,4.75,3.07,2.01,0.68,1.0000000000000009,0.8800561
1973-10-01,-0.83,-0.4,2.03,0.65,0.8100000000000005,0.9299725
1973-11-01,-12.75,-7.65,3.91,0.56,0.75,1.0602257
1973-12-01,0.61,-5.25,3.9,0.64,0.8000000000000007,0.58338845
1974-01-01,-0.17,9.66,5.99,0.63,0.6500000000000004,0.6313066
1974-02-01,-0.47,-0.13,2.86,0.58,0.6799999999999997,0.62160355
1974-03-01,-2.81,2.59,-0.28,0.56,0.6099999999999994,0.5314583
1974-04-01,-5.29,-0.71,0.95,0.75,0.6199999999999992,0.62677836
1974-05-01,-4.68,-3.03,-2.08,0.75,0.6800000000000015,1.239992
1974-06-01,-2.83,-0.16,0.78,0.6,0.7999999999999989,0.9399266
1974-07-01,-8.05,0.92,5.14,0.7,0.7599999999999998,0.5712103
1974-08-01,-9.35,-0.68,2.5,0.6,0.7699999999999996,0.82427895
1974-09-01,-11.77,0.27,5.49,0.81,0.9399999999999995,0.8773168
1974-10-01,16.1,-3.51,-9.99,0.51,1.2100000000000009,0.8438033
1974-11-01,-4.51,-1.17,-0.16,0.54,1.709999999999999,-0.41110823
1974-12-01,-3.45,-4.84,0.0,0.7,1.7400000000000002,0.25443897
1975-01-01,13.66,11.01,8.44,0.58,1.9800000000000004,0.367672
1975-02-01,5.56,0.16,-4.56,0.43,2.030000000000001,-0.08337957
1975-03-01,2.66,3.75,2.49,0.41,1.8100000000000005,0.45782492
1975-04-01,4.23,-0.54,-1.11,0.44,1.6300000000000008,0.18622622
1975-05-01,5.19,3.83,-4.02,0.44,1.7899999999999991,0.97947407
1975-06-01,4.83,0.76,1.32,0.41,1.8499999999999996,0.8088658
1975-07-01,-6.59,2.69,1.7,0.48,1.7100000000000009,0.5762283
