,Compensation,Income Growth,Mkt-RF
1969-01-01,558506.0,0.007627941213614829,-0.0125
1969-02-01,561866.0,0.00601604996186254,-0.0584
1969-03-01,567928.0,0.010789049346285414,0.0264
1969-04-01,571793.0,0.006805440126213182,0.0146
1969-05-01,576627.0,0.008454108392372765,-0.001
1969-06-01,581736.0,0.008860147027454489,-0.0718
1969-07-01,588494.0,0.011616953394666996,-0.07
1969-08-01,593783.0,0.008987347364629037,0.046799999999999994
1969-09-01,598030.0,0.007152444579922295,-0.0298
1969-10-01,601361.0,0.005569954684547598,0.0506
1969-11-01,604918.0,0.005914916331454817,-0.0379
1969-12-01,608471.0,0.005873523353578502,-0.0263
1970-01-01,611368.0,0.004761114334126031,-0.081
1970-02-01,614642.0,0.005355203412674527,0.0513
1970-03-01,618848.0,0.006843007799662243,-0.0106
1970-04-01,617387.0,-0.002360838202595791,-0.11
1970-05-01,619906.0,0.004080098868294927,-0.0692
1970-06-01,623407.0,0.005647630447196833,-0.0579
1970-07-01,626953.0,0.005688097823733131,0.0693
1970-08-01,629041.0,0.003330393187368112,0.0449
1970-09-01,628588.0,-0.0007201438380010206,0.0418
1970-10-01,627058.0,-0.002434026739295055,-0.022799999999999997
1970-11-01,628712.0,0.0026377145335838154,0.046
1970-12-01,634250.0,0.008808484647978725,0.0572
1971-01-01,644474.0,0.016119826566811195,0.0484
1971-02-01,647799.0,0.005159246144918182,0.0141
1971-03-01,651429.0,0.005603590002454465,0.041299999999999996
1971-04-01,654988.0,0.00546337359865772,0.0315
1971-05-01,660792.0,0.008861231045454268,-0.0398
1971-06-01,663601.0,0.004250959454714948,-0.001
1971-07-01,665675.0,0.00312537202324891,-0.045
1971-08-01,670342.0,0.007010928756525332,0.0379
1971-09-01,674308.0,0.005916382980627799,-0.0085
1971-10-01,676551.0,0.003326373111397166,-0.044199999999999996
1971-11-01,680122.0,0.005278242142868757,-0.0046
1971-12-01,689853.0,0.01430772714307139,0.08710000000000001
1972-01-01,700770.0,0.015825110567033847,0.024900000000000002
1972-02-01,709517.0,0.012481984103200765,0.0287
1972-03-01,714773.0,0.007407856330433238,0.0063
1972-04-01,718390.0,0.0050603478307098895,0.0029
1972-05-01,722139.0,0.005218613844847507,0.0125
1972-06-01,726888.0,0.006576296253214409,-0.024300000000000002
1972-07-01,728877.0,0.002736322514610229,-0.008
1972-08-01,736013.0,0.009790403593473248,0.0326
1972-09-01,742339.0,0.008594956882555063,-0.011399999999999999
1972-10-01,752572.0,0.013784807210721787,0.0052
1972-11-01,758389.0,0.007729492992032656,0.046
1972-12-01,765335.0,0.009158888116784395,0.0062
1973-01-01,777848.0,0.016349703071204112,-0.0329
1973-02-01,786386.0,0.010976437555923523,-0.048499999999999995
1973-03-01,791997.0,0.0071351728031780835,-0.013000000000000001
1973-04-01,797813.0,0.007343462159578888,-0.056799999999999996
1973-05-01,802865.0,0.006332310955073432,-0.0294
1973-06-01,808964.0,0.007596544873671165,-0.015600000000000001
1973-07-01,815479.0,0.008053510415791061,0.050499999999999996
1973-08-01,819266.0,0.004643896409349597,-0.0382
1973-09-01,826476.0,0.00880056050171739,0.0475
1973-10-01,834162.0,0.009299725581868076,-0.0083
1973-11-01,843006.0,0.010602257115524323,-0.1275
1973-12-01,847924.0,0.00583388493083086,0.0060999999999999995
1974-01-01,853277.0,0.0063130657936324485,-0.0017000000000000001
1974-02-01,858581.0,0.006216035355459013,-0.004699999999999999
1974-03-01,863144.0,0.0053145830154638874,-0.0281
1974-04-01,868554.0,0.006267783822861538,-0.0529
1974-05-01,879324.0,0.012399919866813117,-0.046799999999999994
1974-06-01,887589.0,0.009399265799636994,-0.028300000000000002
